日付,出発国家,出発空港,到着国家,到着空港,出発時刻,飛行時間,推奨最大運航数,収益(円),価格(円),需要(名),運航規模,座席数,運航可能な最小収益(円),必要機長数,必要副操縦士数,その他必要人員指数,飛行前必要時間,飛行後必要時間,優先順位指数
1日,日本,福岡,韓国,仁川,07:00,30,5,2625000,35000,75,小規模運航,120,2100000,1,1,5,35,40,95.6294857
1日,日本,福岡,韓国,仁川,07:30,30,5,3115000,35000,89,小規模運航,120,2100000,1,1,6,35,40,81.4251172
1日,日本,福岡,韓国,仁川,08:00,30,5,4410000,35000,126,小規模運航,120,2100000,1,1,7,35,40,89.0567383
1日,日本,福岡,韓国,仁川,08:30,30,5,4305000,35000,123,小規模運航,120,2100000,1,1,7,35,40,99.092413
1日,日本,福岡,韓国,仁川,09:00,30,5,4725000,35000,135,小規模運航,120,2100000,1,1,7,35,40,88.3232624
1日,日本,福岡,韓国,仁川,09:30,30,5,4725000,35000,135,小規模運航,120,2100000,1,1,7,35,40,99.3476629
1日,日本,福岡,韓国,仁川,10:00,30,5,3605000,35000,103,小規模運航,120,2100000,1,1,7,35,40,99.1058966
1日,日本,福岡,韓国,仁川,10:30,30,5,3535000,35000,101,小規模運航,120,2100000,1,1,7,35,40,98.2806956
1日,日本,福岡,韓国,仁川,11:00,30,5,3535000,35000,101,小規模運航,120,2100000,1,1,7,35,40,97.3047973
1日,日本,福岡,韓国,仁川,11:30,30,5,3535000,35000,101,小規模運航,120,2100000,1,1,7,35,40,87.1766145
1日,日本,福岡,韓国,仁川,12:00,30,5,3990000,35000,114,小規模運航,120,2100000,1,1,7,35,40,99.051061
1日,日本,福岡,韓国,仁川,12:30,30,5,3745000,35000,107,小規模運航,120,2100000,1,1,7,35,40,93.7638883
1日,日本,福岡,韓国,仁川,13:00,30,5,3710000,35000,106,小規模運航,120,2100000,1,1,7,35,40,82.7862553
1日,日本,福岡,韓国,仁川,13:30,30,5,3815000,35000,109,小規模運航,120,2100000,1,1,7,35,40,99.0640961
1日,日本,福岡,韓国,仁川,14:00,30,5,3360000,35000,96,小規模運航,120,2100000,1,1,6,35,40,98.9771489
1日,日本,福岡,韓国,仁川,14:30,30,5,3395000,35000,97,小規模運航,120,2100000,1,1,6,35,40,98.4082597
1日,日本,福岡,韓国,仁川,15:00,30,5,3360000,35000,96,小規模運航,120,2100000,1,1,6,35,40,89.7962829
