日付,出発国家,出発空港,到着国家,到着空港,出発時刻,飛行時間,推奨最大運航数,収益(円),価格(円),需要(名),運航規模,座席数,運航可能な最小収益(円),必要機長数,必要副操縦士数,その他必要人員指数,飛行前必要時間,飛行後必要時間,優先順位指数
1日,日本,福岡,日本,新千歳,07:00,120,9,1020000,30000,34,小規模運航,120,2100000,1,1,4,35,40,71.4566184
1日,日本,福岡,日本,新千歳,07:30,120,9,1020000,30000,34,小規模運航,120,2100000,1,1,4,35,40,79.1906087
1日,日本,福岡,日本,新千歳,08:00,120,9,1680000,30000,56,小規模運航,120,2100000,1,1,4,35,40,93.4061008
1日,日本,福岡,日本,新千歳,08:30,120,9,1560000,30000,52,小規模運航,120,2100000,1,1,4,35,40,95.9172415
1日,日本,福岡,日本,新千歳,09:00,120,9,1680000,30000,56,小規模運航,120,2100000,1,1,4,35,40,98.2902035
1日,日本,福岡,日本,新千歳,09:30,120,9,1770000,30000,59,小規模運航,120,2100000,1,1,4,35,40,85.9561256
1日,日本,福岡,日本,新千歳,10:00,120,9,1320000,30000,44,小規模運航,120,2100000,1,1,4,35,40,95.2656475
1日,日本,福岡,日本,新千歳,10:30,120,9,1260000,30000,42,小規模運航,120,2100000,1,1,4,35,40,83.3968727
1日,日本,福岡,日本,新千歳,11:00,120,9,1290000,30000,43,小規模運航,120,2100000,1,1,4,35,40,82.2350164
1日,日本,福岡,日本,新千歳,11:30,120,9,1530000,30000,51,小規模運航,120,2100000,1,1,4,35,40,95.7711031
1日,日本,福岡,日本,新千歳,12:00,120,9,1350000,30000,45,小規模運航,120,2100000,1,1,4,35,40,94.5836705
1日,日本,福岡,日本,新千歳,12:30,120,9,1350000,30000,45,小規模運航,120,2100000,1,1,4,35,40,86.4739578
1日,日本,福岡,日本,新千歳,13:00,120,9,1260000,30000,42,小規模運航,120,2100000,1,1,4,35,40,98.2872332
1日,日本,福岡,日本,新千歳,13:30,120,9,1350000,30000,45,小規模運航,120,2100000,1,1,4,35,40,79.300201
1日,日本,福岡,日本,新千歳,14:00,120,9,1260000,30000,42,小規模運航,120,2100000,1,1,4,35,40,91.5116768
1日,日本,福岡,日本,新千歳,14:30,120,9,1380000,30000,46,小規模運航,120,2100000,1,1,4,35,40,87.990234
1日,日本,福岡,日本,新千歳,15:00,120,9,1350000,30000,45,小規模運航,120,2100000,1,1,4,35,40,80.1946835
1日,日本,福岡,日本,新千歳,15:30,120,9,1290000,30000,43,小規模運航,120,2100000,1,1,4,35,40,96.9435394
1日,日本,福岡,日本,新千歳,16:00,120,9,1380000,30000,46,小規模運航,120,2100000,1,1,4,35,40,98.5737445
1日,日本,福岡,日本,新千歳,16:30,120,9,1320000,30000,44,小規模運航,120,2100000,1,1,4,35,40,82.6034419
1日,日本,福岡,日本,新千歳,17:00,120,9,1530000,30000,51,小規模運航,120,2100000,1,1,4,35,40,94.5500495
1日,日本,福岡,日本,新千歳,17:30,120,9,1620000,30000,54,小規模運航,120,2100000,1,1,4,35,40,97.7137439
1日,日本,福岡,日本,新千歳,18:00,120,9,1680000,30000,56,小規模運航,120,2100000,1,1,4,35,40,87.7315207
1日,日本,福岡,日本,新千歳,18:30,120,9,1560000,30000,52,小規模運航,120,2100000,1,1,4,35,40,83.0242736
1日,日本,福岡,日本,新千歳,19:00,120,9,1800000,30000,60,小規模運航,120,2100000,1,1,4,35,40,95.0692206
1日,日本,福岡,日本,新千歳,19:30,120,9,1620000,30000,54,小規模運航,120,2100000,1,1,4,35,40,96.9443135
1日,日本,福岡,日本,新千歳,20:00,120,9,1290000,30000,43,小規模運航,120,2100000,1,1,4,35,40,95.6758163
1日,日本,福岡,日本,新千歳,20:30,120,9,1500000,30000,50,小規模運航,120,2100000,1,1,4,35,40,84.2079586
1日,日本,福岡,日本,新千歳,21:00,120,9,1410000,30000,47,小規模運航,120,2100000,1,1,4,35,40,83.8312484
1日,日本,福岡,日本,新千歳,21:30,120,9,1320000,30000,44,小規模運航,120,2100000,1,1,4,35,40,90.1981894
1日,日本,福岡,日本,新千歳,22:00,120,9,1050000,30000,35,小規模運航,120,2100000,1,1,4,35,40,86.8639569
1日,日本,福岡,日本,新千歳,22:30,120,9,1050000,30000,35,小規模運航,120,2100000,1,1,4,35,40,90.596999
2日,日本,福岡,日本,新千歳,07:00,120,9,1260000,30000,42,小規模運航,120,2100000,1,1,4,35,40,92.1037732
2日,日本,福岡,日本,新千歳,07:30,120,9,1080000,30000,36,小規模運航,120,2100000,1,1,4,35,40,89.2542877
2日,日本,福岡,日本,新千歳,08:00,120,9,1770000,30000,59,小規模運航,120,2100000,1,1,4,35,40,96.5030348
2日,日本,福岡,日本,新千歳,08:30,120,9,1770000,30000,59,小規模運航,120,2100000,1,1,4,35,40,91.4799851
2日,日本,福岡,日本,新千歳,09:00,120,9,1770000,30000,59,小規模運航,120,2100000,1,1,4,35,40,97.5663774
