日付,出発国家,出発空港,到着国家,到着空港,出発時刻,飛行時間,推奨最大運航数,収益(円),価格(円),需要(名),運航規模,座席数,運航可能な最小収益(円),必要機長数,必要副操縦士数,その他必要人員指数,飛行前必要時間,飛行後必要時間,優先順位指数
1日,韓国,仁川,日本,福岡,07:00,30,3,2765000,35000,79,小規模運航,120,2100000,1,1,5,35,40,95.3403451
1日,韓国,仁川,日本,福岡,07:30,30,3,2765000,35000,79,小規模運航,120,2100000,1,1,5,35,40,81.8256119
1日,韓国,仁川,日本,福岡,08:00,30,3,4550000,35000,130,小規模運航,120,2100000,1,1,7,35,40,96.093123
1日,韓国,仁川,日本,福岡,08:30,30,3,4095000,35000,117,小規模運航,120,2100000,1,1,7,35,40,96.3483492
1日,韓国,仁川,日本,福岡,09:00,30,3,4585000,35000,131,小規模運航,120,2100000,1,1,7,35,40,98.8861867
1日,韓国,仁川,日本,福岡,09:30,30,3,4760000,35000,136,小規模運航,120,2100000,1,1,7,35,40,98.6245722
1日,韓国,仁川,日本,福岡,10:00,30,3,3815000,35000,109,小規模運航,120,2100000,1,1,7,35,40,97.9913737
1日,韓国,仁川,日本,福岡,10:30,30,3,3780000,35000,108,小規模運航,120,2100000,1,1,7,35,40,98.5333112
1日,韓国,仁川,日本,福岡,11:00,30,3,3395000,35000,97,小規模運航,120,2100000,1,1,6,35,40,94.5729444
1日,韓国,仁川,日本,福岡,11:30,30,3,3325000,35000,95,小規模運航,120,2100000,1,1,6,35,40,98.205161
1日,韓国,仁川,日本,福岡,12:00,30,3,3710000,35000,106,小規模運航,120,2100000,1,1,7,35,40,85.4350422
1日,韓国,仁川,日本,福岡,12:30,30,3,4060000,35000,116,小規模運航,120,2100000,1,1,7,35,40,98.1930102
1日,韓国,仁川,日本,福岡,13:00,30,3,3815000,35000,109,小規模運航,120,2100000,1,1,7,35,40,84.1776786
1日,韓国,仁川,日本,福岡,13:30,30,3,3570000,35000,102,小規模運航,120,2100000,1,1,7,35,40,98.7731136
1日,韓国,仁川,日本,福岡,14:00,30,3,3815000,35000,109,小規模運航,120,2100000,1,1,7,35,40,88.4812292
1日,韓国,仁川,日本,福岡,14:30,30,3,3780000,35000,108,小規模運航,120,2100000,1,1,7,35,40,97.2644017
1日,韓国,仁川,日本,福岡,15:00,30,3,3535000,35000,101,小規模運航,120,2100000,1,1,7,35,40,98.7385531
1日,韓国,仁川,日本,福岡,15:30,30,3,3570000,35000,102,小規模運航,120,2100000,1,1,7,35,40,99.0029751
1日,韓国,仁川,日本,福岡,16:00,30,3,3955000,35000,113,小規模運航,120,2100000,1,1,7,35,40,94.7222714
1日,韓国,仁川,日本,福岡,16:30,30,3,3745000,35000,107,小規模運航,120,2100000,1,1,7,35,40,96.4675012
1日,韓国,仁川,日本,福岡,17:00,30,3,4655000,35000,133,小規模運航,120,2100000,1,1,7,35,40,97.4943774
1日,韓国,仁川,日本,福岡,17:30,30,3,4830000,35000,138,小規模運航,120,2100000,1,1,7,35,40,99.1030292
1日,韓国,仁川,日本,福岡,18:00,30,3,4725000,35000,135,小規模運航,120,2100000,1,1,7,35,40,99.5439953
1日,韓国,仁川,日本,福岡,18:30,30,3,4585000,35000,131,小規模運航,120,2100000,1,1,7,35,40,99.0708353
1日,韓国,仁川,日本,福岡,19:00,30,3,4130000,35000,118,小規模運航,120,2100000,1,1,7,35,40,99.0584307
1日,韓国,仁川,日本,福岡,19:30,30,3,4445000,35000,127,小規模運航,120,2100000,1,1,7,35,40,95.909654
1日,韓国,仁川,日本,福岡,20:00,30,3,3465000,35000,99,小規模運航,120,2100000,1,1,6,35,40,98.1713475
1日,韓国,仁川,日本,福岡,20:30,30,3,3710000,35000,106,小規模運航,120,2100000,1,1,7,35,40,81.9724654
1日,韓国,仁川,日本,福岡,21:00,30,3,3815000,35000,109,小規模運航,120,2100000,1,1,7,35,40,97.2246691
1日,韓国,仁川,日本,福岡,21:30,30,3,3920000,35000,112,小規模運航,120,2100000,1,1,7,35,40,85.1754798
1日,韓国,仁川,日本,福岡,22:00,30,3,2625000,35000,75,小規模運航,120,2100000,1,1,5,35,40,95.0084577
1日,韓国,仁川,日本,福岡,22:30,30,3,2905000,35000,83,小規模運航,120,2100000,1,1,6,35,40,95.0533225
2日,韓国,仁川,日本,福岡,07:00,30,3,3185000,35000,91,小規模運航,120,2100000,1,1,6,35,40,97.9395196
2日,韓国,仁川,日本,福岡,07:30,30,3,2625000,35000,75,小規模運航,120,2100000,1,1,5,35,40,95.9115353
2日,韓国,仁川,日本,福岡,08:00,30,3,4375000,35000,125,小規模運航,120,2100000,1,1,7,35,40,95.4004288
2日,韓国,仁川,日本,福岡,08:30,30,3,4445000,35000,127,小規模運航,120,2100000,1,1,7,35,40,99.4451231
2日,韓国,仁川,日本,福岡,09:00,30,3,4130000,35000,118,小規模運航,120,2100000,1,1,7,35,40,88.7834275
2日,韓国,仁川,日本,福岡,09:30,30,3,4410000,35000,126,小規模運航,120,2100000,1,1,7,35,40,98.7167832
2日,韓国,仁川,日本,福岡,10:00,30,3,3780000,35000,108,小規模運航,120,2100000,1,1,7,35,40,98.885884
2日,韓国,仁川,日本,福岡,10:30,30,3,3745000,35000,107,小規模運航,120,2100000,1,1,7,35,40,86.3565448
2日,韓国,仁川,日本,福岡,11:00,30,3,3605000,35000,103,小規模運航,120,2100000,1,1,7,35,40,90.684167
2日,韓国,仁川,日本,福岡,11:30,30,3,3850000,35000,110,小規模運航,120,2100000,1,1,7,35,40,95.8868096
2日,韓国,仁川,日本,福岡,12:00,30,3,3640000,35000,104,小規模運航,120,2100000,1,1,7,35,40,88.3882289
2日,韓国,仁川,日本,福岡,12:30,30,3,3955000,35000,113,小規模運航,120,2100000,1,1,7,35,40,93.1033651
2日,韓国,仁川,日本,福岡,13:00,30,3,3430000,35000,98,小規模運航,120,2100000,1,1,6,35,40,91.8974653
2日,韓国,仁川,日本,福岡,13:30,30,3,3990000,35000,114,小規模運航,120,2100000,1,1,7,35,40,98.5354371
2日,韓国,仁川,日本,福岡,14:00,30,3,3535000,35000,101,小規模運航,120,2100000,1,1,7,35,40,85.5264043
2日,韓国,仁川,日本,福岡,14:30,30,3,3885000,35000,111,小規模運航,120,2100000,1,1,7,35,40,98.6757765
2日,韓国,仁川,日本,福岡,15:00,30,3,3605000,35000,103,小規模運航,120,2100000,1,1,7,35,40,82.4684428
2日,韓国,仁川,日本,福岡,15:30,30,3,3570000,35000,102,小規模運航,120,2100000,1,1,7,35,40,99.0029751
2日,韓国,仁川,日本,福岡,16:00,30,3,3885000,35000,111,小規模運航,120,2100000,1,1,7,35,40,87.0070526
2日,韓国,仁川,日本,福岡,16:30,30,3,3360000,35000,96,小規模運航,120,2100000,1,1,6,35,40,99.1225559
2日,韓国,仁川,日本,福岡,17:00,30,3,4130000,35000,118,小規模運航,120,2100000,1,1,7,35,40,96.0594331
2日,韓国,仁川,日本,福岡,17:30,30,3,4410000,35000,126,小規模運航,120,2100000,1,1,7,35,40,95.5790848
2日,韓国,仁川,日本,福岡,18:00,30,3,4305000,35000,123,小規模運航,120,2100000,1,1,7,35,40,98.9947884
2日,韓国,仁川,日本,福岡,18:30,30,3,4165000,35000,119,小規模運航,120,2100000,1,1,7,35,40,94.0053496
2日,韓国,仁川,日本,福岡,19:00,30,3,4410000,35000,126,小規模運航,120,2100000,1,1,7,35,40,99.3830748
2日,韓国,仁川,日本,福岡,19:30,30,3,4235000,35000,121,小規模運航,120,2100000,1,1,7,35,40,85.8517624
2日,韓国,仁川,日本,福岡,20:00,30,3,3360000,35000,96,小規模運航,120,2100000,1,1,6,35,40,89.7269058
2日,韓国,仁川,日本,福岡,20:30,30,3,3535000,35000,101,小規模運航,120,2100000,1,1,7,35,40,91.0434314
2日,韓国,仁川,日本,福岡,21:00,30,3,3360000,35000,96,小規模運航,120,2100000,1,1,6,35,40,94.3047925
2日,韓国,仁川,日本,福岡,21:30,30,3,4060000,35000,116,小規模運航,120,2100000,1,1,7,35,40,91.1726428
2日,韓国,仁川,日本,福岡,22:00,30,3,2660000,35000,76,小規模運航,120,2100000,1,1,5,35,40,97.4842394
2日,韓国,仁川,日本,福岡,22:30,30,3,2730000,35000,78,小規模運航,120,2100000,1,1,5,35,40,97.365041
3日,韓国,仁川,日本,福岡,07:00,30,3,2905000,35000,83,小規模運航,120,2100000,1,1,6,35,40,96.0081303
3日,韓国,仁川,日本,福岡,07:30,30,3,2800000,35000,80,小規模運航,120,2100000,1,1,5,35,40,71.5926291
3日,韓国,仁川,日本,福岡,08:00,30,3,4725000,35000,135,小規模運航,120,2100000,1,1,7,35,40,97.6001217
3日,韓国,仁川,日本,福岡,08:30,30,3,4585000,35000,131,小規模運航,120,2100000,1,1,7,35,40,98.9626385
3日,韓国,仁川,日本,福岡,09:00,30,3,4515000,35000,129,小規模運航,120,2100000,1,1,7,35,40,94.9621427
3日,韓国,仁川,日本,福岡,09:30,30,3,4375000,35000,125,小規模運航,120,2100000,1,1,7,35,40,97.3724231
3日,韓国,仁川,日本,福岡,10:00,30,3,3780000,35000,108,小規模運航,120,2100000,1,1,7,35,40,98.885884
3日,韓国,仁川,日本,福岡,10:30,30,3,3815000,35000,109,小規模運航,120,2100000,1,1,7,35,40,95.6110364
3日,韓国,仁川,日本,福岡,11:00,30,3,3360000,35000,96,小規模運航,120,2100000,1,1,6,35,40,99.2606824
3日,韓国,仁川,日本,福岡,11:30,30,3,3535000,35000,101,小規模運航,120,2100000,1,1,7,35,40,83.6826076
3日,韓国,仁川,日本,福岡,12:00,30,3,3955000,35000,113,小規模運航,120,2100000,1,1,7,35,40,96.5686539
3日,韓国,仁川,日本,福岡,12:30,30,3,3780000,35000,108,小規模運航,120,2100000,1,1,7,35,40,99.1777418
3日,韓国,仁川,日本,福岡,13:00,30,3,3920000,35000,112,小規模運航,120,2100000,1,1,7,35,40,91.1588492
3日,韓国,仁川,日本,福岡,13:30,30,3,3360000,35000,96,小規模運航,120,2100000,1,1,6,35,40,96.5634425
3日,韓国,仁川,日本,福岡,14:00,30,3,3780000,35000,108,小規模運航,120,2100000,1,1,7,35,40,97.5577014
3日,韓国,仁川,日本,福岡,14:30,30,3,3815000,35000,109,小規模運航,120,2100000,1,1,7,35,40,81.4168961
3日,韓国,仁川,日本,福岡,15:00,30,3,3745000,35000,107,小規模運航,120,2100000,1,1,7,35,40,85.8965352
3日,韓国,仁川,日本,福岡,15:30,30,3,4025000,35000,115,小規模運航,120,2100000,1,1,7,35,40,94.9007686
3日,韓国,仁川,日本,福岡,16:00,30,3,3710000,35000,106,小規模運航,120,2100000,1,1,7,35,40,95.4731594
3日,韓国,仁川,日本,福岡,16:30,30,3,3570000,35000,102,小規模運航,120,2100000,1,1,7,35,40,98.3028256
3日,韓国,仁川,日本,福岡,17:00,30,3,4270000,35000,122,小規模運航,120,2100000,1,1,7,35,40,90.8085453
3日,韓国,仁川,日本,福岡,17:30,30,3,4270000,35000,122,小規模運航,120,2100000,1,1,7,35,40,90.4211507
3日,韓国,仁川,日本,福岡,18:00,30,3,4410000,35000,126,小規模運航,120,2100000,1,1,7,35,40,97.5508147
3日,韓国,仁川,日本,福岡,18:30,30,3,4235000,35000,121,小規模運航,120,2100000,1,1,7,35,40,96.7173496
3日,韓国,仁川,日本,福岡,19:00,30,3,4235000,35000,121,小規模運航,120,2100000,1,1,7,35,40,99.0448071
3日,韓国,仁川,日本,福岡,19:30,30,3,4725000,35000,135,小規模運航,120,2100000,1,1,7,35,40,95.91435
3日,韓国,仁川,日本,福岡,20:00,30,3,3885000,35000,111,小規模運航,120,2100000,1,1,7,35,40,98.3678537
3日,韓国,仁川,日本,福岡,20:30,30,3,3815000,35000,109,小規模運航,120,2100000,1,1,7,35,40,95.0763893
3日,韓国,仁川,日本,福岡,21:00,30,3,4025000,35000,115,小規模運航,120,2100000,1,1,7,35,40,89.3121432
3日,韓国,仁川,日本,福岡,21:30,30,3,4060000,35000,116,小規模運航,120,2100000,1,1,7,35,40,91.1726428
3日,韓国,仁川,日本,福岡,22:00,30,3,3185000,35000,91,小規模運航,120,2100000,1,1,6,35,40,99.154978
3日,韓国,仁川,日本,福岡,22:30,30,3,3080000,35000,88,小規模運航,120,2100000,1,1,6,35,40,96.6020256
4日,韓国,仁川,日本,福岡,07:00,30,3,3185000,35000,91,小規模運航,120,2100000,1,1,6,35,40,97.9395196
4日,韓国,仁川,日本,福岡,07:30,30,3,3220000,35000,92,小規模運航,120,2100000,1,1,6,35,40,92.9933578
4日,韓国,仁川,日本,福岡,08:00,30,3,4095000,35000,117,小規模運航,120,2100000,1,1,7,35,40,93.3149841
